Number;Level/Layer;Parameter;Forecast Valid;Description
254.2;0.995 sigma level;VGRD;analysis;V-Component of Wind [m/s]
255;0.995 sigma level;VVEL;analysis;Vertical Velocity (Pressure) [Pa/s]
256;255-0 mb above ground;CAPE;analysis;Convective Available Potential Energy [J/kg]
257;255-0 mb above ground;CIN;analysis;Convective Inhibition [J/kg]
258;255-0 mb above ground;PLPL;analysis;Pressure of level from which parcel was lifted [Pa]
259;surface;GUST;analysis;Wind Speed (Gust) [m/s]
260;surface;LAND;analysis;Land Cover (1=land, 0=sea) [Proportion]
261;surface;ICEC;analysis;Ice Cover [Proportion]
262.1;PV=2e-06 (Km^2/kg/s) surface;UGRD;analysis;U-Component of Wind [m/s]
262.2;PV=2e-06 (Km^2/kg/s) surface;VGRD;analysis;V-Component of Wind [m/s]
263;PV=2e-06 (Km^2/kg/s) surface;TMP;analysis;Temperature [K]
264;PV=2e-06 (Km^2/kg/s) surface;HGT;analysis;Geopotential Height [gpm]
265;PV=2e-06 (Km^2/kg/s) surface;PRES;analysis;Pressure [Pa]
266;PV=2e-06 (Km^2/kg/s) surface;VWSH;analysis;Vertical speed sheer [1/s]
267.1;PV=-2e-06 (Km^2/kg/s) surface;UGRD;analysis;U-Component of Wind [m/s]
267.2;PV=-2e-06 (Km^2/kg/s) surface;VGRD;analysis;V-Component of Wind [m/s]
268;PV=-2e-06 (Km^2/kg/s) surface;TMP;analysis;Temperature [K]
269;PV=-2e-06 (Km^2/kg/s) surface;HGT;analysis;Geopotential Height [gpm]
270;PV=-2e-06 (Km^2/kg/s) surface;PRES;analysis;Pressure [Pa]
271;PV=-2e-06 (Km^2/kg/s) surface;VWSH;analysis;Vertical speed sheer [1/s]
272;mean sea level;PRMSL;analysis;Pressure Reduced to MSL [Pa]
273;500 mb;5WAVH;analysis;5-Wave Geopotential Height [gpm]
274;1000 mb;GPA;analysis;Geopotential Height Anomaly [gpm]
275;500 mb;GPA;analysis;Geopotential Height Anomaly [gpm]
276;500 mb;5WAVA;analysis;5-Wave Geopotential Height Anomaly [gpm]
